Pair,Buy/Sell,Time Exec,Session,Bias,CRT-H,CRT-L,POI,Lot Size,Entry,Stop,TP1,TP2,R:R,Exit,Pips/Points,P/L $,Risk $,Rischio 1R,Status,Balance
EURUSD,Buy,2025-10-24 13:11:00,London,Bullish,1.16063,1.16238,OB,0.1,1970-01-01 00:00:00.000000001,1.1604,1.1623,,2.7,1.16134,3.8000000000004697,3.8000000000004697,5.599999999998939,0.678571428571641,Win,6003.8
GBPUSD,Buy,2025-10-24 13:30:00,London,Bearish,1.3333,1.33139,OB,0.1,1970-01-01 00:00:00.000000001,1.33,1.3332,,0.7,1.3332,13.199999999999878,13.199999999999878,18.79999999999882,0.7021276595745056,Win,6017.0
US30,Sell,2025-10-24 16:14:00,NY,Bullish,47133,46907,Rejection,0.02,1970-01-01 00:00:00.000047102,47165,46925,,2.8,47165.0,-62.099999999998545,-12.419999999999709,1.241999999999971,-10.0,Loss,6004.58
US30,Buy,2025-10-27 12:30:00,London,Bearish,47518,47448,OB,0.01,1970-01-01 00:00:00.000047464,47445,47510,,2.3,47445.0,-19.0,-1.9,0.19,-10.0,Loss,6002.68
GBPUSD,Sell,2025-10-27 10:55:00,London,Bullish,1.335,1.3325,Rejection,0.1,1970-01-01 00:00:00.000000001,1.3352,1.3325,,1,1.3352,-13.699999999998713,-13.699999999998713,13.699999999998715,-0.9999999999999999,Loss,5988.980000000001
XAUUSD,Buy,2025-10-27 17:00:00,NY,Bearish,4022,3983,OB,0.02,1970-01-01 00:00:00.000003990,3968,4022,,1.4,3999.87,93.69999999999891,18.73999999999978,45.0,0.4164444444444396,Win,6007.720000000001
XAUUSD,Buy,2025-10-27 21:20:00,NY,Bearish,4022,3982,OB,0.02,1970-01-01 00:00:00.000003991,3968,4022,,1.4,3996.4,54.00000000000091,10.800000000000182,46.0,0.23478260869565612,Win,6018.520000000001
XAUUSD,Buy,2025-10-28 11:32:00,London,Bearish,3935.7,3896.7,OB,0.02,1970-01-01 00:00:00.000003903,3885,3932,,2,3913.0,96.39999999999873,19.279999999999745,36.720000000000255,0.5250544662309262,Win,6037.800000000001
GBPUSD,Buy,2025-10-28 11:32:00,London,Bearish,1.33378,1.33013,OB,0.1,1970-01-01 00:00:00.000000001,1.3299,1.3336,,1.2,1.33183,2.4000000000001798,2.4000000000001798,16.899999999999697,0.14201183431953981,Win,6040.200000000002
EURUSD,Buy,2025-10-28 15:16:00,NY,Bullish,1.16596,1.16353,OB,0.1,1970-01-01 00:00:00.000000001,1.1624,1.1659,,1,1.16481,5.399999999999849,5.399999999999849,18.699999999998163,0.28877005347595613,Win,6045.600000000001
EURUSD,Sell,2025-10-28 16:58:00,NY,Bullish,1.16632,1.16378,OB,0.1,1970-01-01 00:00:00.000000001,1.1669,1.16395,,2,1.16637,-5.199999999998539,-5.199999999998539,10.499999999999954,-0.4952380952379583,Loss,6040.400000000002
US30,Buy,2025-10-29 11:30:00,London,Bearish,47713,47598,OB,0.02,1970-01-01 00:00:00.000047607,47555,47695,,1.75,47695.0,88.0,17.6,1.04,16.923076923076923,Win,6058.000000000003
US30,Buy,2025-10-29 21:19:00,NY,Bullish,47870,47453,OB,0.02,1970-01-01 00:00:00.000047575,47430,47820,,1.7,47586.0,11.0,2.2,2.9,0.7586206896551725,Win,6060.200000000003
EURUSD,Buy,2025-10-29 21:18:00,NY,Bullish,1.16509,1.15838,OB,0.1,1970-01-01 00:00:00.000000001,1.15748,1.1644,,2.27,1.16064,10.299999999998644,10.299999999998644,21.299999999999653,0.4835680751173151,Win,6070.500000000001
EURUSD,Sell,2025-10-30 16:00:00,NY,Bearish,1.15792,1.15469,Mitigation,0.1,1970-01-01 00:00:00.000000001,1.15885,1.15564,,1.15,1.15659,7.699999999999374,7.699999999999374,14.899999999999915,0.5167785234898938,Win,6078.200000000001
GBPUSD,Sell,2025-10-30 16:00:00,NY,Bearish,1.31642,1.31166,Rejection,0.1,1970-01-01 00:00:00.000000001,1.31826,1.31243,,1.38,1.31503,7.800000000000029,7.800000000000029,24.500000000000632,0.3183673469387685,Win,6086.000000000001
EURUSD,Buy,2025-10-31 17:22:00,NY,Bearish,1.15563,1.15303,OB,0.1,1970-01-01 00:00:00.000000001,1.15204,1.1553,,2,1.15297,-1.5999999999993797,-1.5999999999993797,10.900000000000354,-0.1467889908256264,Loss,6084.4000000000015
GBPUSD,Sell,2025-10-31 17:59:00,NY,Bearish,1.31389,1.31161,OB,0.1,1970-01-01 00:00:00.000000001,1.31444,1.31161,,1.25,1.31278,3.4000000000000696,3.4000000000000696,13.199999999999878,0.25757575757576523,Win,6087.800000000001
XAUUSD,Buy,2025-11-03 20:48:00,NY,Bullish,4030,4003,OB,0.02,1970-01-01 00:00:00.000004008,3994,4022,,0.9,4009.55,6.400000000003274,1.2800000000006548,29.81999999999971,0.04292421193831882,Win,6089.080000000002
EURUSD,Buy,2025-11-04 11:40:00,London,Bearish,1.15169,1.14999,Rejection,0.1,1970-01-01 00:00:00.000000001,1.14957,1.1513,,1.09,1.14973,-7.600000000000939,-7.600000000000939,9.200000000000319,-0.8260869565218126,Loss,6081.4800000000005
GBPUSD,Buy,2025-11-04 14:14:00,London,Bearish,1.30748,1.30567,FVG,0.1,1970-01-01 00:00:00.000000001,1.30518,1.30723,,1.5,1.30518,-8.20000000000043,-8.20000000000043,8.20000000000043,-1.0,Loss,6073.28
GBPUSD,Buy,2025-11-05 15:04:00,NY,Bearish,1.30468,1.30256,OB,0.1,1970-01-01 00:00:00.000000001,1.301,1.30468,,1,1.3023,-10.799999999999699,-10.799999999999699,23.800000000000487,-0.4537815126050201,Loss,6062.4800000000005
US30,Buy,2025-11-06 09:04:00,London,Bearish,47272,47205,OB,0.02,1970-01-01 00:00:00.000047224,47165,47270,,0.8,47230.94,6.860000000000582,1.3720000000001165,1.1816000000000348,1.1611374407583581,Win,6063.852000000001
GBPUSD,Sell,2025-11-06 11:43:00,London,Bearish,1.3087,1.30592,OB,0.1,1970-01-01 00:00:00.000000001,1.3091,1.30655,,1.18,1.30911,-11.699999999998933,-11.699999999998933,11.599999999998278,-1.00862068965523,Loss,6052.152000000002
US30,Sell,2025-11-06 12:07:00,London,Bearish,47290,47211,OB,0.02,1970-01-01 00:00:00.000047280,47315,47225,,1.66,47315.56,-35.11999999999534,-7.023999999999068,0.6911999999999534,-10.162037037036374,Loss,6045.128000000002
XAUUSD,Sell,2025-11-07 09:00:00,London,Bullish,4008,3992,Rejection,0.02,1970-01-01 00:00:00.000004008,4011,3996,,3.69,4011.0,-28.299999999999272,-5.659999999999855,5.6599999999998545,-1.0000000000000002,Loss,6039.468000000003
US30,Sell,2025-11-10 11:23:00,London,Bullish,4190,4124,Rejection,0.02,1970-01-01 00:00:00.000047172,47130,,,1.54,47149.3,23.419999999998254,4.683999999999651,0.8544000000000233,5.482209737827158,Win,6044.152000000002
GBPUSD,Buy,2025-11-10 12:02:00,London,Bullish,,,,0.1,1970-01-01 00:00:00.000000001,,,,,1.31771,0.700000000000145,0.700000000000145,13176.4,5.312528459974993e-05,Win,6044.852000000002
US30,Buy,2025-11-10 14:30:00,NY,Bullish,47198,47134,Rejection,0.02,1970-01-01 00:00:00.000047165,47130,47195,,0.83,47195.4,29.69000000000233,5.938000000000466,0.7141999999999825,8.314197703725302,Win,6050.790000000002
US30,Buy,2025-11-10 17:08:00,NY,Bullish,47178,46983,Breaker,0.02,1970-01-01 00:00:00.000047023,46915,47167,,1.4,47101.54,77.63999999999942,15.527999999999885,2.1780000000000292,7.12947658402189,Win,6066.318000000002
US30,Buy,2025-11-10 17:45:00,NY,Bullish,47178,46983,Breaker,0.01,1970-01-01 00:00:00.000047049,46915,47167,,0.94,47167.14,117.72000000000116,11.772000000000116,1.3441999999999825,8.757625353370234,Win,6078.090000000002
GBPUSD,Buy,2025-11-11 10:56:00,London,Bearish,1.31564,1.31205,OB,0.1,1970-01-01 00:00:00.000000001,1.3115,1.3151,,1.18,1.31398,8.299999999998864,8.299999999998864,16.499999999999297,0.5030303030302556,Win,6086.390000000001
EURUSD,Sell,2025-11-11 13:13:00,London,Bearish,1.15746,1.15627,Rejection,0.1,1970-01-01 00:00:00.000000001,1.15787,1.1565,,1.3,1.15785,-5.9000000000009045,-5.9000000000009045,6.099999999999994,-0.9672131147542475,Loss,6080.490000000001
GBPUSD,Sell,2025-11-11 13:21:00,London,Bearish,1.31521,1.31334,FVG,0.1,1970-01-01 00:00:00.000000001,1.3157,1.31355,,1.15,1.3157,-10.000000000001119,-10.000000000001119,10.000000000001119,-1.0,Loss,6070.49
GBPUSD,Buy,2025-11-12 12:58:00,London,Bearish,1.31548,1.31161,OB,0.1,1970-01-01 00:00:00.000000001,1.3109,1.314,,1.17,1.314,16.700000000000603,16.700000000000603,14.300000000000423,1.1678321678321755,Win,6087.1900000000005
EURUSD,Buy,2025-11-12 13:00:00,London,Bearish,1.5782,1.15684,OB,0.2,1970-01-01 00:00:00.000000001,1.1564,1.1577,,1.32,1.1577,7.399999999999629,14.799999999999258,11.199999999997878,1.3214285714287555,Win,6101.99
GBPUSD,Sell,2025-11-12 17:54:00,NY,Bearish,1.31331,1.30975,Rejection,0.2,1970-01-01 00:00:00.000000001,1.314,1.3109,,1.98,1.314,-10.40000000000152,-20.80000000000304,20.80000000000304,-1.0,Loss,6081.189999999997
EURUSD,Sell,2025-11-12 17:48:00,NY,Bearish,1.1596,1.15734,OB,0.2,1970-01-01 00:00:00.000000001,1.16,1.1581,,1.41,1.15936,-1.4999999999987246,-2.999999999997449,15.799999999996928,-0.18987341772139446,Loss,6078.19
GBPUSD,Sell,2025-11-13 14:12:00,London,Bullish,1.31832,1.31469,OB,0.2,1970-01-01 00:00:00.000000001,1.3187,1.315,,2.16,1.31684,7.200000000000539,14.400000000001079,22.799999999998377,0.6315789473685133,Win,6092.590000000001
EURUSD,Sell,2025-11-13 14:00:00,London,Bullish,1.1623,,OB,0.2,1970-01-01 00:00:00.000000001,1.1637,1.16205,,0.92,1.1637,-14.600000000000168,-29.200000000000337,29.200000000000337,-1.0,Loss,6063.39
GBPUSD,Sell,2025-11-17 15:00:00,NY,Bullish,1.31806,1.3154,Rejection,0.2,1970-01-01 00:00:00.000000001,1.31945,1.31555,,2.02,1.31637,17.899999999999583,35.799999999999166,25.80000000000027,1.3875968992247594,Win,6099.19
US30,Sell,2025-11-18 19:24:00,NY,Bearish,46302,45910,OB,0.02,1970-01-01 00:00:00.000046237,46400,46120,,0.73,46161.51,76.18000000000029,15.236000000000057,3.2461999999999533,4.693487770316147,Win,6114.4259999999995
GBPUSD,Buy,2025-11-19 10:03:00,London,Bearish,1.31487,1.31234,Rejection,0.2,1970-01-01 00:00:00.000000001,1.3117,1.3127,,0.78,1.3117,-5.399999999999849,-10.799999999999699,10.799999999999699,-1.0,Loss,6103.626
XAUUSD,Sell,2025-11-19 11:16:00,London,Bullish,4116,4082,FVG,0.02,1970-01-01 00:00:00.000004113,4120,4100,,1.86,4111.53,14.700000000002547,2.9400000000005093,14.000000000000002,0.21000000000003635,Win,6106.566000000001
GBPUSD,Sell,2025-11-19 13:27:00,London,Bearish,1.31269,1.30924,OB,0.2,1970-01-01 00:00:00.000000001,1.3131,1.3107,,2.64,1.31199,4.500000000000615,9.00000000000123,13.19999999999766,0.6818181818183958,Win,6115.566000000002
EURUSD,Sell,2025-11-20 11:01:00,London,Bearish,1.15277,1.15173,FVG,0.2,1970-01-01 00:00:00.000000001,1.153,1.1521,,1.37,1.1521,5.20000000000076,10.40000000000152,7.600000000000939,1.3684210526316096,Win,6125.966000000003
GBPUSD,Buy,2025-11-21 10:59:00,London,Bearish,1.30991,1.30594,Rejection,0.2,1970-01-01 00:00:00.000000001,1.3049,1.308,,1.09,1.30488,-15.000000000000568,-30.000000000001137,29.600000000002957,-1.0135135135134508,Loss,6095.966000000002
GBPUSD,Sell,2025-11-24 14:00:00,London,Bearish,1.31157,1.30887,Rejection,0.2,1970-01-01 00:00:00.000000001,1.312,1.3097,,0.49,1.3097,7.599999999998719,15.199999999997438,30.80000000000194,0.4935064935063792,Win,6111.165999999999
XAUUSD,Sell,2025-11-24 13:59:00,London,Bullish,4.084,4066,OB,0.02,1970-01-01 00:00:00.000004078,4087,4070,,0.95,4073.2,50.70000000000164,10.140000000000327,17.460000000000036,0.580756013745722,Win,6121.306
US30,Sell,2025-11-24 14:01:00,London,Bearish,40383,40255,OB,0.02,1970-01-01 00:00:00.000046350,46445,46300,,0.54,46300.0,50.830000000001746,10.16600000000035,1.883399999999965,5.397685037698067,Win,6131.472
GBPUSD,Sell,2025-11-25 10:57:00,London,Bullish,1.31382,1.31085,OB,0.2,1970-01-01 00:00:00.000000001,1.31415,1.3119,,1.3,1.3119,12.699999999998823,25.399999999997647,19.59999999999962,1.2959183673468437,Win,6156.871999999998
EURUSD,Sell,2025-11-25 16:50:00,NY,Bullish,1.51712,1.5523,Breaker,0.15,1970-01-01 00:00:00.000000001,1.1585,1.1545,,1.3,1.15559,11.700000000001154,17.55000000000173,26.100000000001124,0.6724137931034856,Win,6174.422
GBPUSD,Sell,2025-11-25 16:51:00,NY,Bullish,1.3182,1.31538,OB,0.15,1970-01-01 00:00:00.000000001,1.31975,1.3154,,1.04,1.31981,-21.899999999999142,-32.849999999998715,31.949999999999477,-1.0281690140844837,Loss,6141.572000000001
EURUSD,Sell,2025-12-01 12:56:00,London,Bullish,1.16284,1.1619,OB,0.2,1970-01-01 00:00:00.000000001,1.1633,1.162,,1.03,1.16331,-6.500000000000394,-13.000000000000789,12.799999999999478,-1.015625000000103,Loss,6128.572
EURUSD,Sell,2025-12-03 13:58:00,London,Bullish,1.16658,1.1655,SWEEP,0.2,1970-01-01 00:00:00.000000001,1.167,1.16555,,1.27,1.16702,-6.599999999998829,-13.199999999997658,12.799999999999478,-1.031249999999859,Loss,6115.372000000002
GBPUSD,Sell,2025-12-09 11:01:00,London,Bearish,1.33507,1.33266,OB,0.1,1970-01-01 00:00:00.000000001,1.3357,1.3335,,0.83,1.33379,7.099999999999884,7.099999999999884,12.000000000000899,0.5916666666666127,Win,6122.472000000002
US30,Sell,2025-12-11 12:02:00,London,Bullish,47970,47895,FVG,0.02,1970-01-01 00:00:00.000047949,47985,47907,,1.2,47985.3,-35.75,-7.1499999999999995,0.7089999999999418,-10.084626234133408,Loss,6115.322000000002
EURUSD,Sell,2025-12-15 11:56:00,London,Bullish,1.17435,1.17307,SWEEP,0.2,1970-01-01 00:00:00.000000001,1.17475,1.17315,,2.33,1.17477,-5.00000000000167,-10.00000000000334,9.600000000000719,-1.0416666666669365,Loss,6105.321999999998
EURUSD,Buy,2025-12-17 09:52:00,London,Bearish,1.17308,1.17065,OB,0.2,1970-01-01 00:00:00.000000001,1.1702,1.1728,,0.82,1.1728,11.700000000001154,23.400000000002308,28.600000000000847,0.8181818181818746,Win,6128.722000000001
GBPUSD,Buy,2025-12-17 09:52:00,London,Bullish,1.33776,1.33156,OB,0.2,1970-01-01 00:00:00.000000001,1.331,1.3354,,1.63,1.3354,27.099999999999902,54.199999999999804,33.79999999999939,1.6035502958580112,Win,6182.9220000000005
US30,Sell,2025-12-18 11:58:00,London,Bearish,47946,47877,NONE,0.02,1970-01-01 00:00:00.000047940,47970.4,47890,,1.74,47970.4,-29.599999999998545,-5.919999999999709,0.5919999999999709,-10.0,Loss,6177.002
EURUSD,Buy,2025-12-29 13:44:00,London,Bearish,1.178,1.17652,OB,0.1,1970-01-01 00:00:00.000000001,1.1757,1.1771,,2.59,1.1757,-3.900000000001125,-3.900000000001125,3.900000000001125,-1.0,Loss,6173.101999999999
GBPUSD,Buy,2025-12-30 14:58:00,London,NONE,NONE,NONE,NONE,0.2,1970-01-01 00:00:00.000000001,NONE,NONE,,NONE,1.34905,-5.899999999998684,-11.799999999997368,,,Loss,6161.3020000000015
EURUSD,Sell,2026-01-12 07:53:00,London,Bearish,1.16647,1.16209,OB,0.2,1970-01-01 00:00:00.000000001,1.16725,1.1641,,4.16,1.16725,-6.099999999999994,-12.199999999999989,12.199999999999989,-1.0,Loss,6149.102000000002
GBPUSD,Sell,2026-01-12 08:07:00,London,Bearish,1.34343,1.3391,Rejection,0.2,1970-01-01 00:00:00.000000001,1.3442,1.3411,,1.59,1.3442,-10.499999999999954,-20.999999999999908,20.999999999999908,-1.0,Loss,6128.102000000002
GBPUSD,Sell,2026-01-19 14:35:00,London,Bullish,1.3415,1.3388,OB,0.2,1970-01-01 00:00:00.000000001,1.3417,133930,,1.82,1.3417,-8.499999999997954,-16.999999999995907,16.999999999995907,-1.0,Loss,6111.102000000006
EURUSD,Sell,2026-01-19 17:29:00,NY,Bearish,1.16378,1.15813,OB,0.2,1970-01-01 00:00:00.000000001,1.1644,1.1604,,1.92,1.16443,-14.000000000000679,-28.000000000001357,27.40000000000187,-1.0218978102189578,Loss,6083.102000000005
GBPUSD,Sell,2026-01-20 13:49:00,London,Bullish,1.34919,1.34269,OB,0.2,1970-01-01 00:00:00.000000001,1.3494,1.3445,,2.38,1.3445,34.49999999999953,68.99999999999906,28.99999999999903,2.3793103448276334,Win,6152.102000000004
GBPUSD,Sell,2026-01-23 16:01:00,NY,Bullish,1.35344,1.35,FVG,0.2,1970-01-01 00:00:00.000000001,1.3539,1.3501,,1.7,1.3539,-14.100000000001334,-28.200000000002667,28.20000000000267,-0.9999999999999999,Loss,6123.902000000002
GBPUSD,Sell,2026-01-29 02:19:00,SYD,Bearish,1.38296,1.3798,Rejection,0.2,1970-01-01 00:00:00.000000001,1.3837,1.3804,,0.85,1.3804,15.199999999999658,30.399999999999316,35.599999999997856,0.8539325842696952,Win,6154.3020000000015
EURUSD,Sell,2026-01-29 05:00:00,ASIA,Bearish,1.19806,1.1954,OB,0.2,1970-01-01 00:00:00.000000001,1.1988,1.1947,,1.56,1.1988,-16.00000000000046,-32.00000000000092,32.00000000000092,-1.0,Loss,6122.302000000001
GBPUSD,Buy,2026-01-30 08:56:00,London,Bearish,1.3782,1.37268,SWEEP,0.1,1970-01-01 00:00:00.000000001,1.373,1.3779,,0.82,1.3779,21.499999999998742,21.499999999998742,27.500000000000306,0.7818181818181273,Win,6143.802
GBPUSD,Sell,2026-02-02 13:37:00,London,Bearish,1.37099,1.36836,OB,0.2,1970-01-01 00:00:00.000000001,1.3717,1.36888,,1.07,1.36922,11.199999999997878,22.399999999995757,27.200000000000557,0.823529411764533,Win,6166.201999999996
EURUSD,Buy,2026-02-02 16:17:00,NY,Bearish,1.1869,1.182,OB,0.2,1970-01-01 00:00:00.000000001,1.1803,1.18385,,0.71,1.1803,-20.800000000000818,-41.600000000001636,41.60000000000164,-0.9999999999999998,Loss,6124.601999999994
GBPUSD,Sell,2026-02-03 15:03:00,NY,Bearish,1.36827,1.365,OB,0.2,1970-01-01 00:00:00.000000001,1.3691,1.3652,,1.83,1.36614,15.800000000001369,31.600000000002737,27.599999999998737,1.1449275362320357,Win,6156.2019999999975
GBPUSD,Sell,2026-02-03 18:21:00,NY,Bearish,1.37038,1.3664,SWEEP,0.2,1970-01-01 00:00:00.000000001,1.3708,1.367,,3.69,1.3708,-8.099999999999774,-16.199999999999548,16.199999999999548,-1.0,Loss,6140.001999999998
